Hospital_ID,Hospital_Name,Location_Lat,Location_Lon,ICU_Beds_Total,ICU_Beds_Occupied,Traffic_Index,Ambulance_ETA_Minutes,Patient_Severity_Level,Weather_Condition
H003,Sakra Hospital,12.995185,77.729185,38,14,8,23,Low,Stormy
H002,Apollo Hospital,12.924183,77.618952,56,36,0,12,Medium,Clear
H002,Apollo Hospital,12.955911,77.58584,39,19,3,13,High,Stormy
H003,Sakra Hospital,12.951869,77.728027,30,28,1,20,Medium,Stormy
H003,Sakra Hospital,13.021554,77.568254,91,36,8,25,Low,Clear
H003,Sakra Hospital,13.007067,77.544769,97,26,5,27,Low,Foggy
H002,Apollo Hospital,13.076956,77.550295,24,3,1,20,Low,Rainy
H003,Sakra Hospital,13.097835,77.728199,44,22,3,21,Low,Foggy
H001,Manipal Hospital,12.868598,77.649426,38,13,8,26,Low,Clear
H002,Apollo Hospital,13.083673,77.532291,87,17,5,15,Low,Rainy
H003,Sakra Hospital,12.934279,77.72321,74,62,7,20,Low,Foggy
H001,Manipal Hospital,13.094409,77.621653,79,33,7,19,Low,Foggy
H002,Apollo Hospital,13.00573,77.576206,88,30,1,12,Critical,Rainy
H002,Apollo Hospital,12.894146,77.531344,50,41,6,17,High,Clear
H002,Apollo Hospital,12.828181,77.69144,95,3,6,17,Low,Clear
H003,Sakra Hospital,13.080042,77.528332,70,22,4,16,Medium,Rainy
H001,Manipal Hospital,12.910396,77.598078,29,26,1,22,Medium,Rainy
H003,Sakra Hospital,12.93406,77.711168,29,11,7,24,Critical,Clear
H002,Apollo Hospital,12.806645,77.572354,56,31,4,10,High,Stormy
H003,Sakra Hospital,12.981786,77.580794,39,1,6,24,High,Foggy
H002,Apollo Hospital,13.084952,77.721231,30,4,9,24,Medium,Rainy
H003,Sakra Hospital,12.860951,77.763853,82,3,1,19,Low,Foggy
H003,Sakra Hospital,12.830719,77.592417,72,67,0,12,Medium,Clear
H002,Apollo Hospital,12.99748,77.587732,51,20,8,26,Low,Rainy
H002,Apollo Hospital,13.095379,77.570037,57,0,0,19,Low,Stormy
H001,Manipal Hospital,12.993604,77.740253,43,14,7,24,Low,Stormy
H002,Apollo Hospital,13.02685,77.568588,90,79,8,25,Low,Rainy
H001,Manipal Hospital,13.090055,77.537122,58,43,2,17,Medium,Stormy
H001,Manipal Hospital,12.897634,77.682585,86,63,10,28,Medium,Rainy
H003,Sakra Hospital,12.907273,77.793717,93,30,0,13,Medium,Foggy
H001,Manipal Hospital,12.822275,77.734113,82,37,9,19,Low,Foggy
H002,Apollo Hospital,12.861231,77.584282,76,4,2,20,Low,Clear
H001,Manipal Hospital,12.842946,77.557007,76,60,3,21,Low,Clear
H001,Manipal Hospital,13.090843,77.537594,88,7,9,25,Low,Foggy
H003,Sakra Hospital,13.048539,77.786204,88,57,8,25,Medium,Clear
H003,Sakra Hospital,12.959993,77.557502,39,10,10,30,Medium,Rainy
H001,Manipal Hospital,12.879235,77.629251,62,7,9,22,Low,Clear
H003,Sakra Hospital,12.813301,77.782794,46,32,8,30,Medium,Rainy
H001,Manipal Hospital,12.860809,77.766536,68,66,6,18,Medium,Foggy
H003,Sakra Hospital,13.086611,77.78182,39,19,1,20,Medium,Foggy
H001,Manipal Hospital,12.87551,77.518253,34,29,5,25,Low,Rainy
H003,Sakra Hospital,13.024572,77.673127,53,5,6,22,Low,Clear
H001,Manipal Hospital,12.913604,77.731422,65,19,6,22,Medium,Stormy
H003,Sakra Hospital,12.904873,77.639228,65,36,3,12,Medium,Foggy
H001,Manipal Hospital,12.988542,77.745105,76,3,4,17,Medium,Clear
H001,Manipal Hospital,12.891425,77.710639,22,5,0,16,Medium,Rainy
H002,Apollo Hospital,13.048358,77.524745,96,29,7,24,High,Rainy
H003,Sakra Hospital,12.880731,77.792643,54,17,5,23,Low,Stormy
H001,Manipal Hospital,12.878279,77.769027,63,7,10,22,Medium,Foggy
H001,Manipal Hospital,13.002269,77.703556,72,13,6,28,Low,Stormy
H002,Apollo Hospital,12.948106,77.793636,69,50,2,16,High,Stormy
H002,Apollo Hospital,12.945824,77.596149,42,0,0,7,Low,Stormy
H003,Sakra Hospital,12.955226,77.569511,92,4,3,25,Medium,Foggy
H003,Sakra Hospital,13.092327,77.535252,34,30,9,21,Medium,Clear
H002,Apollo Hospital,13.071508,77.511353,60,18,3,24,Medium,Rainy
H003,Sakra Hospital,12.882809,77.770828,49,28,5,21,Low,Stormy
H003,Sakra Hospital,12.813201,77.644431,40,19,6,26,Medium,Clear
H003,Sakra Hospital,13.020142,77.70406,94,75,3,16,Low,Clear
H003,Sakra Hospital,13.066898,77.686376,57,48,0,11,Medium,Rainy
H003,Sakra Hospital,12.844986,77.519103,66,40,5,26,Low,Foggy
H003,Sakra Hospital,12.925961,77.54188,22,12,1,20,High,Stormy
H001,Manipal Hospital,12.845288,77.667331,60,13,0,8,High,Stormy
H001,Manipal Hospital,12.945038,77.680351,78,78,6,19,Low,Stormy
H003,Sakra Hospital,12.986665,77.655667,51,44,6,11,Low,Foggy
H003,Sakra Hospital,13.043829,77.725337,30,25,0,10,Low,Foggy
H002,Apollo Hospital,12.89192,77.669034,83,35,10,22,Critical,Foggy
H001,Manipal Hospital,12.834355,77.55796,80,72,7,16,Low,Rainy
H002,Apollo Hospital,12.994329,77.57482,55,29,8,15,Low,Clear
H002,Apollo Hospital,12.949231,77.581432,76,55,4,18,Low,Stormy
H002,Apollo Hospital,12.831439,77.661495,85,64,0,9,Low,Clear
H003,Sakra Hospital,12.884134,77.645584,90,71,10,22,Low,Rainy
H001,Manipal Hospital,13.065215,77.688604,65,34,9,16,Low,Stormy
H002,Apollo Hospital,13.061371,77.799849,64,34,1,13,High,Rainy
H001,Manipal Hospital,13.088179,77.77405,100,1,8,26,Medium,Clear
H002,Apollo Hospital,12.931454,77.700054,83,51,10,18,Medium,Rainy
H002,Apollo Hospital,12.912863,77.748141,75,15,8,24,Medium,Stormy
H003,Sakra Hospital,12.894771,77.553434,97,81,5,21,Low,Rainy
H003,Sakra Hospital,13.063844,77.70781,61,60,1,13,Low,Clear
H001,Manipal Hospital,12.971861,77.634145,54,33,0,10,Low,Foggy
H003,Sakra Hospital,12.95681,77.790764,65,59,2,16,Medium,Foggy
H003,Sakra Hospital,13.050075,77.623558,20,10,6,29,Medium,Rainy
H001,Manipal Hospital,13.011867,77.683902,59,55,2,8,Low,Rainy
H002,Apollo Hospital,12.934973,77.650216,27,25,8,14,Medium,Foggy
H002,Apollo Hospital,13.061621,77.778911,71,31,9,31,Low,Clear
H002,Apollo Hospital,13.059562,77.765665,93,51,9,22,Low,Foggy
H001,Manipal Hospital,12.824103,77.571045,37,26,9,17,Low,Rainy
H002,Apollo Hospital,12.820983,77.753972,37,7,0,11,Low,Stormy
H002,Apollo Hospital,12.991126,77.651603,44,40,3,15,Medium,Clear
H002,Apollo Hospital,12.994168,77.523939,55,44,0,20,Critical,Foggy
H003,Sakra Hospital,12.871582,77.793138,87,80,7,23,Medium,Stormy
H002,Apollo Hospital,12.974845,77.67048,61,32,1,18,Medium,Foggy
H002,Apollo Hospital,12.831414,77.662315,27,16,9,14,Medium,Rainy
H003,Sakra Hospital,13.052226,77.605005,73,5,6,27,Medium,Rainy
H003,Sakra Hospital,12.851359,77.551688,36,4,7,23,Medium,Foggy
H001,Manipal Hospital,12.870892,77.75744,28,2,2,19,Medium,Clear
H001,Manipal Hospital,12.87745,77.501167,27,17,0,14,Critical,Rainy
H002,Apollo Hospital,12.883509,77.556259,92,91,0,15,Low,Clear
H002,Apollo Hospital,13.0131,77.66868,56,21,4,10,Low,Foggy
H001,Manipal Hospital,12.914219,77.608184,61,23,2,17,Low,Foggy
H001,Manipal Hospital,13.092203,77.740208,95,11,7,18,Low,Rainy
H002,Apollo Hospital,12.899794,77.629226,100,26,6,20,Low,Rainy
H001,Manipal Hospital,13.071273,77.504059,27,14,5,8,Critical,Foggy
H001,Manipal Hospital,13.097037,77.690301,45,28,7,24,Low,Clear
H001,Manipal Hospital,12.945322,77.568406,59,53,9,32,High,Clear
H001,Manipal Hospital,13.052232,77.721667,44,19,9,19,Low,Clear
H002,Apollo Hospital,12.996241,77.741245,92,32,6,11,Low,Stormy
H002,Apollo Hospital,12.958756,77.729296,45,26,4,27,Low,Rainy
H002,Apollo Hospital,13.061303,77.529921,57,26,8,22,Low,Rainy
H003,Sakra Hospital,12.813744,77.762978,77,68,3,13,Medium,Foggy
H002,Apollo Hospital,12.960237,77.770061,54,40,0,13,Low,Clear
H003,Sakra Hospital,12.9659,77.791295,99,40,8,29,Low,Foggy
H001,Manipal Hospital,12.843371,77.535565,90,43,8,24,Low,Foggy
H002,Apollo Hospital,12.974871,77.626565,96,4,5,17,Low,Foggy
H001,Manipal Hospital,12.937462,77.750708,97,6,7,21,Medium,Clear
H002,Apollo Hospital,12.923606,77.769083,54,21,2,23,Low,Foggy
H002,Apollo Hospital,12.836701,77.552779,30,3,4,17,Low,Clear
H001,Manipal Hospital,13.013367,77.660206,55,2,7,25,High,Foggy
H002,Apollo Hospital,12.95512,77.795267,45,11,2,18,High,Rainy
H001,Manipal Hospital,12.81559,77.713823,59,27,6,23,Low,Clear
H001,Manipal Hospital,12.858236,77.788169,69,17,4,21,Low,Rainy
H002,Apollo Hospital,12.964112,77.55405,36,1,5,23,Medium,Foggy
H002,Apollo Hospital,12.877424,77.759361,23,6,8,18,Low,Rainy
H001,Manipal Hospital,12.94874,77.61063,70,62,10,21,Medium,Rainy
H002,Apollo Hospital,12.849909,77.515248,43,33,1,9,Low,Rainy
H002,Apollo Hospital,12.811567,77.511645,26,2,0,13,Low,Clear
H001,Manipal Hospital,12.883363,77.583755,76,16,5,19,High,Rainy
H003,Sakra Hospital,13.030844,77.538285,67,32,6,16,High,Foggy
H002,Apollo Hospital,12.850256,77.686975,93,13,6,20,Low,Clear
H002,Apollo Hospital,13.018408,77.547898,24,23,1,20,Low,Foggy
H002,Apollo Hospital,12.968821,77.566828,96,61,5,24,Low,Foggy
H002,Apollo Hospital,13.060022,77.779354,41,41,8,23,Medium,Rainy
H002,Apollo Hospital,12.99814,77.733986,60,0,9,15,Low,Foggy
H001,Manipal Hospital,12.833909,77.637395,29,11,7,27,Low,Stormy
H001,Manipal Hospital,13.049883,77.506135,25,5,2,11,Critical,Clear
H002,Apollo Hospital,13.001445,77.638847,44,43,2,30,High,Foggy
H001,Manipal Hospital,12.863188,77.758836,64,54,4,14,High,Foggy
H001,Manipal Hospital,12.899815,77.768264,68,9,3,18,Low,Stormy
H002,Apollo Hospital,12.808264,77.738842,56,37,0,9,Critical,Clear
H003,Sakra Hospital,13.098034,77.76211,69,31,7,22,Low,Rainy
H003,Sakra Hospital,12.87726,77.743814,52,10,10,29,Medium,Stormy
H001,Manipal Hospital,12.897293,77.544164,73,67,4,16,Low,Clear
H002,Apollo Hospital,13.048456,77.5447,97,76,2,13,Low,Rainy
H003,Sakra Hospital,12.940084,77.609521,67,24,5,22,Medium,Foggy
H002,Apollo Hospital,12.969815,77.66887,65,41,1,20,High,Rainy
H001,Manipal Hospital,12.914417,77.766473,91,19,8,19,Low,Rainy
H003,Sakra Hospital,12.94463,77.665726,65,63,5,17,Low,Foggy
H003,Sakra Hospital,12.922899,77.522965,47,24,10,19,Low,Stormy
H003,Sakra Hospital,12.945093,77.553761,96,72,4,16,Medium,Clear
H001,Manipal Hospital,12.996912,77.667718,91,54,6,32,Critical,Foggy
H003,Sakra Hospital,13.097031,77.616097,22,6,0,11,Medium,Clear
H003,Sakra Hospital,12.909016,77.726573,37,37,4,24,Low,Rainy
H002,Apollo Hospital,12.80906,77.558528,81,73,6,13,Low,Stormy
H002,Apollo Hospital,12.89715,77.76064,63,54,8,23,Medium,Stormy
H002,Apollo Hospital,12.982281,77.611561,46,10,0,8,Low,Foggy
H001,Manipal Hospital,13.049189,77.794216,98,26,7,24,Medium,Rainy
H002,Apollo Hospital,12.816383,77.545141,94,42,9,25,Low,Rainy
H003,Sakra Hospital,12.830907,77.635821,27,21,2,11,High,Foggy
H001,Manipal Hospital,13.039041,77.701827,72,42,10,21,Low,Stormy
H001,Manipal Hospital,13.037378,77.759487,22,13,4,21,Medium,Clear
H001,Manipal Hospital,12.872698,77.554998,34,33,10,24,Medium,Clear
H001,Manipal Hospital,13.051407,77.761967,23,3,1,17,High,Foggy
H003,Sakra Hospital,12.871949,77.682197,71,18,1,17,Low,Clear
H003,Sakra Hospital,12.992877,77.767229,66,10,4,13,High,Clear
H001,Manipal Hospital,12.949672,77.587763,36,19,2,20,Low,Foggy
H002,Apollo Hospital,13.032203,77.659238,89,7,2,21,Low,Clear
H001,Manipal Hospital,12.911229,77.60792,34,10,6,21,Low,Rainy
H003,Sakra Hospital,13.082123,77.761296,100,51,9,18,High,Clear
H002,Apollo Hospital,13.0507,77.596727,94,81,8,26,Low,Clear
H001,Manipal Hospital,12.927039,77.651612,25,11,8,20,Medium,Rainy
H002,Apollo Hospital,12.957271,77.638084,60,49,4,9,Critical,Clear
H002,Apollo Hospital,13.083727,77.746432,86,81,2,15,High,Foggy
H003,Sakra Hospital,13.006781,77.530641,71,2,2,19,Medium,Stormy
H003,Sakra Hospital,12.801415,77.634869,45,7,2,17,High,Clear
H002,Apollo Hospital,12.889055,77.722503,54,54,2,13,Low,Stormy
H001,Manipal Hospital,12.897699,77.506049,48,32,1,15,Low,Rainy
H003,Sakra Hospital,13.034391,77.774266,62,48,2,18,Low,Stormy
H003,Sakra Hospital,12.820882,77.733296,69,53,0,1,Low,Stormy
H001,Manipal Hospital,12.901049,77.529605,50,18,1,20,Low,Stormy
H003,Sakra Hospital,13.045157,77.769728,51,48,0,19,Medium,Stormy
H001,Manipal Hospital,13.012061,77.757766,83,48,3,12,High,Clear
H002,Apollo Hospital,12.861479,77.713731,76,8,10,23,High,Rainy
H003,Sakra Hospital,13.016897,77.679341,21,5,7,26,Medium,Stormy
H003,Sakra Hospital,12.878841,77.631646,38,37,6,18,Medium,Stormy
H002,Apollo Hospital,12.84511,77.754631,32,9,10,27,Low,Stormy
H001,Manipal Hospital,12.879639,77.741201,28,18,9,21,Low,Clear
H001,Manipal Hospital,13.019475,77.727521,66,6,5,21,Low,Clear
H002,Apollo Hospital,13.083066,77.754739,51,1,7,28,Medium,Rainy
H001,Manipal Hospital,12.826836,77.587368,90,63,9,17,High,Stormy
H003,Sakra Hospital,12.974763,77.718051,69,13,7,25,Medium,Clear
H002,Apollo Hospital,12.953533,77.791864,38,14,8,25,Medium,Foggy
H001,Manipal Hospital,13.000206,77.748465,75,21,7,26,Low,Foggy
H001,Manipal Hospital,12.807007,77.506339,81,57,8,19,Low,Stormy
H002,Apollo Hospital,12.883526,77.598943,34,22,4,12,Low,Clear
H001,Manipal Hospital,12.876948,77.646529,64,12,6,18,Medium,Stormy
H001,Manipal Hospital,12.837938,77.759075,93,73,0,17,Medium,Foggy
H002,Apollo Hospital,12.938874,77.579459,60,22,9,24,Low,Clear
H002,Apollo Hospital,13.094019,77.687692,79,11,7,14,High,Clear
H003,Sakra Hospital,12.822869,77.543361,39,1,6,24,Low,Foggy
H003,Sakra Hospital,12.94755,77.710597,49,25,4,14,Low,Stormy
H003,Sakra Hospital,13.09764,77.740031,42,7,7,19,Low,Rainy
H002,Apollo Hospital,12.998934,77.78105,68,15,7,20,Low,Rainy
H003,Sakra Hospital,13.085196,77.73926,93,44,3,24,Medium,Foggy
H002,Apollo Hospital,12.817647,77.580406,63,20,8,31,Low,Stormy
H002,Apollo Hospital,12.906498,77.772688,43,7,4,14,Low,Stormy
H001,Manipal Hospital,13.098846,77.611033,85,53,1,7,Low,Rainy
H003,Sakra Hospital,13.050478,77.70865,72,55,10,33,Low,Clear
H001,Manipal Hospital,13.059624,77.612126,62,17,6,22,Low,Foggy
H003,Sakra Hospital,12.987933,77.766013,58,1,0,15,Low,Foggy
H003,Sakra Hospital,13.070961,77.60881,70,40,10,27,High,Foggy
H001,Manipal Hospital,12.996022,77.654149,41,12,3,16,Critical,Rainy
H001,Manipal Hospital,12.814593,77.636078,27,26,4,14,Low,Stormy
H002,Apollo Hospital,12.981245,77.675936,70,22,9,26,Low,Clear
H002,Apollo Hospital,12.889973,77.70561,81,9,8,21,Low,Rainy
H002,Apollo Hospital,12.84593,77.667389,94,78,8,19,Critical,Foggy
H001,Manipal Hospital,12.939433,77.673031,61,42,5,20,Medium,Foggy
H001,Manipal Hospital,13.08618,77.794319,91,21,3,12,Low,Foggy
H002,Apollo Hospital,13.069018,77.778511,43,43,2,16,High,Rainy
H002,Apollo Hospital,12.993619,77.758925,26,4,5,26,Medium,Rainy
H001,Manipal Hospital,12.995616,77.739062,37,21,9,21,Low,Rainy
H002,Apollo Hospital,13.040547,77.558869,78,66,10,11,Low,Rainy
H002,Apollo Hospital,12.816962,77.548395,84,46,1,14,Low,Foggy
H003,Sakra Hospital,13.096452,77.663078,45,35,9,22,Low,Stormy
H003,Sakra Hospital,12.947685,77.73418,88,76,8,28,High,Foggy
H001,Manipal Hospital,13.0677,77.704991,82,77,1,21,High,Rainy
H001,Manipal Hospital,12.833411,77.757794,21,7,7,17,High,Clear
H001,Manipal Hospital,12.885027,77.725367,66,15,2,14,Low,Rainy
H001,Manipal Hospital,12.944957,77.625433,28,7,3,21,Medium,Rainy
H003,Sakra Hospital,13.025712,77.548831,55,35,4,8,Low,Clear
